unique_ID	sample_ID	species	coverage	field_ID	Location	read_type	eco	calcua_read_location	calcua_alignment_location
32	orientalis_D20	orientalis	5X	KYT_40	Kythira	fqz_1_2	stout	data/raw_data/orientalis_D20_1.fq.gz,data/raw_data/orientalis_D20_2.fq.gz	results/Alignment/GCF_900634775.1_fGouWil2.1/orientalis_D20.fixmate.sort.markdup.rg.bam
33	orientalis_D21	orientalis	5X	KYT_41	Kythira	fqz_1_2	stout	data/raw_data/orientalis_D21_1.fq.gz,data/raw_data/orientalis_D21_2.fq.gz	results/Alignment/GCF_900634775.1_fGouWil2.1/orientalis_D21.fixmate.sort.markdup.rg.bam
34	orientalis_D22	orientalis	5X	KYT_42	Kythira	fqz_1_2	stout	data/raw_data/orientalis_D22_1.fq.gz,data/raw_data/orientalis_D22_2.fq.gz	results/Alignment/GCF_900634775.1_fGouWil2.1/orientalis_D22.fixmate.sort.markdup.rg.bam
35	orientalis_D23	orientalis	5X	KYT_43	Kythira	fqz_1_2	stout	data/raw_data/orientalis_D23_1.fq.gz,data/raw_data/orientalis_D23_2.fq.gz	results/Alignment/GCF_900634775.1_fGouWil2.1/orientalis_D23.fixmate.sort.markdup.rg.bam
36	orientalis_D24_2	orientalis	5X	KYT_44	Kythira	fqz_1_2	stout	data/raw_data/orientalis_D24_2_1.fq.gz,data/raw_data/orientalis_D24_2_2.fq.gz	results/Alignment/GCF_900634775.1_fGouWil2.1/orientalis_D24_2.fixmate.sort.markdup.rg.bam
37	pigra_4616STDY8352654	pigra	30X	GWP_06	Pula	fqz_1_2	slender	data/raw_data/pigra_4616STDY8352654_1.fq.gz,data/raw_data/pigra_4616STDY8352654_2.fq.gz	results/Alignment/GCF_900634775.1_fGouWil2.1/pigra_4616STDY8352654.fixmate.sort.markdup.rg.bam
38	pigra_A100	pigra	5X	GWP_03	Pula	fqz_1_2	slender	data/raw_data/pigra_A100_1.fq.gz,data/raw_data/pigra_A100_2.fq.gz	results/Alignment/GCF_900634775.1_fGouWil2.1/pigra_A100.fixmate.sort.markdup.rg.bam
39	pigra_A101	pigra	5X	GWP_08	Pula	fqz_1_2	slender	data/raw_data/pigra_A101_1.fq.gz,data/raw_data/pigra_A101_2.fq.gz	results/Alignment/GCF_900634775.1_fGouWil2.1/pigra_A101.fixmate.sort.markdup.rg.bam
40	pigra_A102	pigra	5X	GWP_11	Pula	fqz_1_2	slender	data/raw_data/pigra_A102_1.fq.gz,data/raw_data/pigra_A102_2.fq.gz	results/Alignment/GCF_900634775.1_fGouWil2.1/pigra_A102.fixmate.sort.markdup.rg.bam
41	pigra_A103	pigra	5X	GWP_12	Pula	fqz_1_2	slender	data/raw_data/pigra_A103_1.fq.gz,data/raw_data/pigra_A103_2.fq.gz	results/Alignment/GCF_900634775.1_fGouWil2.1/pigra_A103.fixmate.sort.markdup.rg.bam
42	pigra_A104	pigra	5X	GWP_13	Pula	fqz_1_2	slender	data/raw_data/pigra_A104_1.fq.gz,data/raw_data/pigra_A104_2.fq.gz	results/Alignment/GCF_900634775.1_fGouWil2.1/pigra_A104.fixmate.sort.markdup.rg.bam
43	pigra_A105	pigra	5X	GWP_14	Pula	fqz_1_2	slender	data/raw_data/pigra_A105_1.fq.gz,data/raw_data/pigra_A105_2.fq.gz	results/Alignment/GCF_900634775.1_fGouWil2.1/pigra_A105.fixmate.sort.markdup.rg.bam
44	pigra_A106	pigra	5X	GWP_15	Pula	fqz_1_2	slender	data/raw_data/pigra_A106_1.fq.gz,data/raw_data/pigra_A106_2.fq.gz	results/Alignment/GCF_900634775.1_fGouWil2.1/pigra_A106.fixmate.sort.markdup.rg.bam
45	pigra_A107	pigra	5X	GWP_17	Pula	fqz_1_2	slender	data/raw_data/pigra_A107_1.fq.gz,data/raw_data/pigra_A107_2.fq.gz	results/Alignment/GCF_900634775.1_fGouWil2.1/pigra_A107.fixmate.sort.markdup.rg.bam
46	pigra_A108	pigra	5X	GWP_16	Pula	fqz_1_2	slender	data/raw_data/pigra_A108_1.fq.gz,data/raw_data/pigra_A108_2.fq.gz	results/Alignment/GCF_900634775.1_fGouWil2.1/pigra_A108.fixmate.sort.markdup.rg.bam
47	pigra_A109	pigra	5X	GWP_31	Pula	fqz_1_2	slender	data/raw_data/pigra_A109_1.fq.gz,data/raw_data/pigra_A109_2.fq.gz	results/Alignment/GCF_900634775.1_fGouWil2.1/pigra_A109.fixmate.sort.markdup.rg.bam
48	willdenowi_4616STDY8352651	willdenowi	30X	GWF_T17	Toulon	fqz_1_2	stout	data/raw_data/willdenowi_4616STDY8352651_1.fq.gz,data/raw_data/willdenowi_4616STDY8352651_2.fq.gz	results/Alignment/GCF_900634775.1_fGouWil2.1/willdenowi_4616STDY8352651.fixmate.sort.markdup.rg.bam
49	willdenowi_A120	willdenowi	5X	GWF_T8	Toulon	fqz_1_2	stout	data/raw_data/willdenowi_A120_1.fq.gz,data/raw_data/willdenowi_A120_2.fq.gz	results/Alignment/GCF_900634775.1_fGouWil2.1/willdenowi_A120.fixmate.sort.markdup.rg.bam
50	willdenowi_A121	willdenowi	5X	GWF_T9	Toulon	fqz_1_2	stout	data/raw_data/willdenowi_A121_1.fq.gz,data/raw_data/willdenowi_A121_2.fq.gz	results/Alignment/GCF_900634775.1_fGouWil2.1/willdenowi_A121.fixmate.sort.markdup.rg.bam
51	willdenowi_A122	willdenowi	5X	GWF_T10	Toulon	fqz_1_2	stout	data/raw_data/willdenowi_A122_1.fq.gz,data/raw_data/willdenowi_A122_2.fq.gz	results/Alignment/GCF_900634775.1_fGouWil2.1/willdenowi_A122.fixmate.sort.markdup.rg.bam
52	willdenowi_A123	willdenowi	5X	GWF_T11	Toulon	fqz_1_2	stout	data/raw_data/willdenowi_A123_1.fq.gz,data/raw_data/willdenowi_A123_2.fq.gz	results/Alignment/GCF_900634775.1_fGouWil2.1/willdenowi_A123.fixmate.sort.markdup.rg.bam
53	willdenowi_A124	willdenowi	5X	GWF_T12	Toulon	fqz_1_2	stout	data/raw_data/willdenowi_A124_1.fq.gz,data/raw_data/willdenowi_A124_2.fq.gz	results/Alignment/GCF_900634775.1_fGouWil2.1/willdenowi_A124.fixmate.sort.markdup.rg.bam
54	willdenowi_A125	willdenowi	5X	GWF_T13	Toulon	fqz_1_2	stout	data/raw_data/willdenowi_A125_1.fq.gz,data/raw_data/willdenowi_A125_2.fq.gz	results/Alignment/GCF_900634775.1_fGouWil2.1/willdenowi_A125.fixmate.sort.markdup.rg.bam
55	willdenowi_A126	willdenowi	5X	GWF_T14	Toulon	fqz_1_2	stout	data/raw_data/willdenowi_A126_1.fq.gz,data/raw_data/willdenowi_A126_2.fq.gz	results/Alignment/GCF_900634775.1_fGouWil2.1/willdenowi_A126.fixmate.sort.markdup.rg.bam
56	willdenowi_A127	willdenowi	5X	GWF_T15	Toulon	fqz_1_2	stout	data/raw_data/willdenowi_A127_1.fq.gz,data/raw_data/willdenowi_A127_2.fq.gz	results/Alignment/GCF_900634775.1_fGouWil2.1/willdenowi_A127.fixmate.sort.markdup.rg.bam
57	willdenowi_A128	willdenowi	5X	GWF_T16	Toulon	fqz_1_2	stout	data/raw_data/willdenowi_A128_1.fq.gz,data/raw_data/willdenowi_A128_2.fq.gz	results/Alignment/GCF_900634775.1_fGouWil2.1/willdenowi_A128.fixmate.sort.markdup.rg.bam
58	willdenowi_A129	willdenowi	5X	GWF_T18	Toulon	fqz_1_2	stout	data/raw_data/willdenowi_A129_1.fq.gz,data/raw_data/willdenowi_A129_2.fq.gz	results/Alignment/GCF_900634775.1_fGouWil2.1/willdenowi_A129.fixmate.sort.markdup.rg.bam
